datatype,test,sites,hardware,wall_s,energy_J,power_W,cpu_share,best_logL
AA,LGC10,1000,CPU_CLX_OMP48,397.2,155802.44,392.25,1.0,-80578.84
AA,LGC10,1000,CPU_SPR_OMP104,187.94,126867.74,675.05,1.0,-80578.84
AA,LGC10,1000,GPU_V100,647.36,152563.97,235.67,0.54,-80578.84
AA,LGC10,100000,CPU_CLX_OMP48,20496.64,9310148.84,454.23,1.0,-7816903.98
AA,LGC10,100000,CPU_SPR_OMP104,10453.58,7286353.83,697.02,1.0,-7816903.98
AA,LGC10,100000,GPU_H200,3721.77,3302448.24,887.33,0.4,-7816903.98
AA,LGC10,100000,GPU_V100,12338.39,4643320.64,376.33,0.36,-7816903.98
AA,LGC10,1000000,CPU_CLX_OMP48,,,,,
AA,LGC10,1000000,CPU_SPR_OMP104,144364.62,98970743.4,685.56,1.0,-81489753.86
AA,LGC10,1000000,GPU_H200,51629.97,41833503.1,810.26,0.3,-81489753.86
AA,LGC10,1000000,GPU_V100,,,,,
AA,LGC10,10000000,CPU_CLX_OMP48,,,,,
AA,LGC10,10000000,CPU_SPR_OMP104,,,,,
AA,LGC10,10000000,GPU_H200,,,,,
AA,MTEST,1000,CPU_CLX_OMP48,78.18,28194.42,360.62,1.0,-77823.96
AA,MTEST,1000,CPU_SPR_OMP104,150.1,94616.82,630.38,1.0,-77823.96
AA,MTEST,1000,GPU_V100,330.94,67817.97,204.92,0.7,-77823.96
AA,MTEST,100000,CPU_CLX_OMP48,2277.99,1042453.58,457.62,1.0,-7541976.86
AA,MTEST,100000,CPU_SPR_OMP104,759.14,525947.87,692.82,1.0,-7541976.86
AA,MTEST,100000,GPU_H200,1055.22,656437.25,622.08,0.46,-7541976.86
AA,MTEST,100000,GPU_V100,1996.5,638097.61,319.61,0.4,-7541976.86
AA,MTEST,1000000,CPU_CLX_OMP48,33103.29,14185231.24,428.51,1.0,-78605196.57
AA,MTEST,1000000,CPU_SPR_OMP104,15701.15,10852319.28,691.18,1.0,-78605196.57
AA,MTEST,1000000,GPU_H200,8097.99,5845956.65,721.9,0.39,-78605196.57
AA,MTEST,1000000,GPU_V100,18614.4,7757006.57,416.72,0.45,-78605196.57
