hardware,datatype,sites,wall_s,energy_cpu_J,energy_gpu_J,energy_total_J,gpu_mem_peak_MB,gpu_mem_delta_MB,cpu_mem_peak_MB,rep,file,test,best_logL,gpu_mem_cap_MB,cpu_mem_cap_MB,label
GPU_H200,AA,100000,1055.224,305090.336,351346.917,656437.253,13414.688,12540.0,480.379,baseline_06_13,(from 2026_06_13 runs.csv),MTEST,,,,AA/H200
GPU_H200,AA,100000,1055.913,289171.396,348948.743,638120.139,13414.688,12540.0,,test_1,output_gpumem_fix_test_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_aa_iqtree.log,MTEST,-7541976.86,143771.0,,AA/H200
GPU_H200,AA,100000,1052.016,279267.3,337672.602,616939.902,9752.688,8878.0,,test_3,output_gpumem_fix_test_3_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_aa_iqtree.log,MTEST,-7541976.86,143771.0,,AA/H200
GPU_V100,AA,100000,1996.502,257420.004,380677.606,638097.61,13125.25,12538.0,477.887,baseline_06_13,(from 2026_06_13 runs.csv),MTEST,,,,AA/V100
GPU_V100,AA,100000,2007.816,381282.357,377870.707,759153.064,13125.25,12538.0,,test_1,output_gpumem_fix_test_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_aa_iqtree.log,MTEST,-7541976.86,32768.0,,AA/V100
GPU_V100,AA,100000,1979.285,265459.78,381744.464,647204.244,13125.25,12538.0,,test_2,output_gpumem_fix_test_2_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_aa_iqtree.log,MTEST,-7541976.86,32768.0,,AA/V100
GPU_V100,AA,100000,1991.982,317720.898,372725.455,690446.353,9463.25,8876.0,,test_3,output_gpumem_fix_test_3_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_aa_iqtree.log,MTEST,-7541976.86,32768.0,,AA/V100
GPU_H200,DNA,100000,387.166,103598.317,72700.215,176298.532,3088.688,2214.0,537.574,baseline_06_13,(from 2026_06_13 runs.csv),MTEST,,,,DNA/H200
GPU_H200,DNA,100000,383.678,104779.703,74531.648,179311.351,3088.688,2214.0,,test_1,output_gpumem_fix_test_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_iqtree.log,MTEST,-5692984.527,143771.0,,DNA/H200
GPU_H200,DNA,100000,384.109,105240.96,72581.112,177822.072,3088.688,2214.0,,test_2,output_gpumem_fix_test_2_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_iqtree.log,MTEST,-5692984.527,143771.0,,DNA/H200
GPU_H200,DNA,100000,373.035,99182.372,70744.685,169927.057,3060.688,2186.0,,test_3,output_gpumem_fix_test_3_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_iqtree.log,MTEST,-5692984.527,143771.0,,DNA/H200
GPU_V100,DNA,100000,741.95,136578.397,102003.474,238581.871,2797.25,2210.0,542.289,baseline_06_13,(from 2026_06_13 runs.csv),MTEST,,,,DNA/V100
GPU_V100,DNA,100000,740.349,192130.62,100347.281,292477.901,2797.25,2210.0,,test_1,output_gpumem_fix_test_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_V100_GTR-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_iqtree.log,MTEST,-5692984.529,32768.0,,DNA/V100
GPU_V100,DNA,100000,738.374,101469.606,104520.87,205990.476,2797.25,2210.0,,test_2,output_gpumem_fix_test_2_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_V100_GTR-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_iqtree.log,MTEST,-5692984.529,32768.0,,DNA/V100
GPU_V100,DNA,100000,736.395,131191.564,101051.538,232243.102,2769.25,2182.0,,test_3,output_gpumem_fix_test_3_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_V100_GTR-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_iqtree.log,MTEST,-5692984.529,32768.0,,DNA/V100
GPU_H200,AA,1000000,8097.987,2290662.528,3555294.121,5845956.649,104372.688,103498.0,3441.805,baseline_06_13,(from 2026_06_13 runs.csv),MTEST,,,,AA/H200
GPU_H200,AA,1000000,8101.605,2148949.239,3353332.667,5502281.9059999995,79386.688,78512.0,,test_2,output_gpumem_fix_test_2_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_aa_iqtree.log,MTEST,-78605196.573,143771.0,,AA/H200
GPU_H200,AA,1000000,,,,0.0,,,,test_3,output_gpumem_fix_test_3_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_aa_iqtree.log,MTEST,,,,AA/H200
GPU_V100,AA,1000000,18614.403,3493139.723,4263866.847,7757006.57,28521.25,27934.0,3439.098,baseline_06_13,(from 2026_06_13 runs.csv),MTEST,,,,AA/V100
GPU_V100,AA,1000000,18625.143,2860665.104,4359346.555,7220011.659,27799.25,27212.0,,test_2,output_gpumem_fix_test_2_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_aa_iqtree.log,MTEST,-78605196.573,32768.0,,AA/V100
GPU_V100,AA,1000000,,,,0.0,,,,test_3,output_gpumem_fix_test_3_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_aa_iqtree.log,MTEST,,,,AA/V100
GPU_H200,DNA,1000000,1738.757,474496.145,646879.315,1121375.46,31338.688,30464.0,3683.773,baseline_06_13,(from 2026_06_13 runs.csv),MTEST,,,,DNA/H200
GPU_H200,DNA,1000000,1776.902,470324.211,651589.65,1121913.861,31338.688,30464.0,,test_2,output_gpumem_fix_test_2_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_iqtree.log,MTEST,-59208019.245,143771.0,,DNA/H200
GPU_H200,DNA,1000000,1737.476,456955.53,653760.407,1110715.937,17764.688,16890.0,,test_3,output_gpumem_fix_test_3_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_iqtree.log,MTEST,-59208019.245,143771.0,,DNA/H200
GPU_V100,DNA,1000000,5081.386,728966.139,957114.834,1686080.973,31049.25,30462.0,3795.086,baseline_06_13,(from 2026_06_13 runs.csv),MTEST,,,,DNA/V100
GPU_V100,DNA,1000000,5096.888,772768.065,903546.48,1676314.545,31049.25,30462.0,,test_2,output_gpumem_fix_test_2_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_V100_GTR-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_iqtree.log,MTEST,-59208019.245,32768.0,,DNA/V100
GPU_V100,DNA,1000000,5065.565,761518.408,879734.776,1641253.184,17475.25,16888.0,,test_3,output_gpumem_fix_test_3_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_V100_GTR-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_iqtree.log,MTEST,-59208019.245,32768.0,,DNA/V100
GPU_H200,AA,10000000,89586.928,32728336.296,43015693.662,75744029.958,118414.688,117540.0,35876.539,baseline_06_13,(from 2026_06_13 runs.csv),MTEST,,,,AA/H200
GPU_H200,AA,10000000,,,,0.0,,,,test_2,output_gpumem_fix_test_2_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_10000000len_ninit2_MTEST_OPENACC_run1_tree_1_10000000_aa_iqtree.log,MTEST,,,,AA/H200
GPU_H200,DNA,10000000,11392.727,3388358.905,4961885.329,8350244.233999999,141340.688,140466.0,28770.223,baseline_06_13,(from 2026_06_13 runs.csv),MTEST,,,,DNA/H200
GPU_H200,DNA,10000000,11387.98,3064115.074,4947028.89,8011143.964,125786.688,124912.0,,test_2,output_gpumem_fix_test_2_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_10000000len_ninit2_MTEST_OPENACC_run1_tree_1_10000000_iqtree.log,MTEST,-578953728.648,143771.0,,DNA/H200
