datatype,sites,hardware,base_wall_s,base_logL,fix_rep,fix_wall_s,fix_logL,wall_delta_s,wall_delta_pct,logL_delta,match
AA,1000,GPU_V100,330.943,-77823.964,,,,,,,—
AA,100000,GPU_H200,1055.224,-7541976.86,test_3,1052.016,-7541976.86,-3.2079999999998563,-0.30401128101709746,0.0,yes
AA,100000,GPU_V100,1996.502,-7541976.86,test_3,1991.982,-7541976.86,-4.519999999999982,-0.22639596654548716,0.0,yes
AA,1000000,GPU_H200,8097.987,-78605196.573,test_2,8101.605,-78605196.573,3.6179999999994834,0.04467776991985148,0.0,yes
AA,1000000,GPU_V100,18614.403,-78605196.573,test_2,18625.143,-78605196.573,10.7400000000016,0.05769725733348312,0.0,yes
AA,10000000,GPU_H200,89586.928,-782587990.703,,,,,,,—
DNA,1000,GPU_V100,314.143,-56180.293,,,,,,,—
DNA,100000,GPU_H200,387.166,-5692984.527,test_3,373.035,-5692984.527,-14.130999999999972,-3.6498556174870656,0.0,yes
DNA,100000,GPU_V100,741.95,-5692984.529,test_3,736.395,-5692984.529,-5.555000000000064,-0.7487027427724325,0.0,yes
DNA,1000000,GPU_H200,1738.757,-59208019.245,test_3,1737.476,-59208019.245,-1.280999999999949,-0.07367331950352746,0.0,yes
DNA,1000000,GPU_V100,5081.386,-59208019.245,test_3,5065.565,-59208019.245,-15.821000000000822,-0.31135206024499656,0.0,yes
DNA,10000000,GPU_H200,11392.727,-578953728.648,test_2,11387.98,-578953728.648,-4.747000000001208,-0.04166693364987336,0.0,yes
