file,rep,hardware,datatype,test,sites,wall_s,best_logL,energy_cpu_J,energy_gpu_J,gpu_mem_peak_MB,gpu_mem_cap_MB,gpu_mem_delta_MB,cpu_mem_peak_MB,cpu_mem_cap_MB,energy_total_J
output_gpumem_fix_test_2_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_10000000len_ninit2_MTEST_OPENACC_run1_tree_1_10000000_aa_iqtree.log,test_2,GPU_H200,AA,MTEST,10000000,,,,,,,,,,0.0
output_gpumem_fix_test_2_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_aa_iqtree.log,test_2,GPU_H200,AA,MTEST,1000000,8101.605,-78605196.573,2148949.239,3353332.667,79386.688,143771.0,78512.0,,,5502281.9059999995
output_gpumem_fix_test_2_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_aa_iqtree.log,test_2,GPU_V100,AA,MTEST,1000000,18625.143,-78605196.573,2860665.104,4359346.555,27799.25,32768.0,27212.0,,,7220011.659
output_gpumem_fix_test_2_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_aa_iqtree.log,test_2,GPU_V100,AA,MTEST,100000,1979.285,-7541976.86,265459.78,381744.464,13125.25,32768.0,12538.0,,,647204.244
output_gpumem_fix_test_2_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_10000000len_ninit2_MTEST_OPENACC_run1_tree_1_10000000_iqtree.log,test_2,GPU_H200,DNA,MTEST,10000000,11387.98,-578953728.648,3064115.074,4947028.89,125786.688,143771.0,124912.0,,,8011143.964
output_gpumem_fix_test_2_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_iqtree.log,test_2,GPU_H200,DNA,MTEST,1000000,1776.902,-59208019.245,470324.211,651589.65,31338.688,143771.0,30464.0,,,1121913.861
output_gpumem_fix_test_2_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_V100_GTR-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_iqtree.log,test_2,GPU_V100,DNA,MTEST,1000000,5096.888,-59208019.245,772768.065,903546.48,31049.25,32768.0,30462.0,,,1676314.545
output_gpumem_fix_test_2_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_iqtree.log,test_2,GPU_H200,DNA,MTEST,100000,384.109,-5692984.527,105240.96,72581.112,3088.688,143771.0,2214.0,,,177822.072
output_gpumem_fix_test_2_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_V100_GTR-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_iqtree.log,test_2,GPU_V100,DNA,MTEST,100000,738.374,-5692984.529,101469.606,104520.87,2797.25,32768.0,2210.0,,,205990.476
output_gpumem_fix_test_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_aa_iqtree.log,test_1,GPU_H200,AA,MTEST,100000,1055.913,-7541976.86,289171.396,348948.743,13414.688,143771.0,12540.0,,,638120.139
output_gpumem_fix_test_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_aa_iqtree.log,test_1,GPU_V100,AA,MTEST,100000,2007.816,-7541976.86,381282.357,377870.707,13125.25,32768.0,12538.0,,,759153.064
output_gpumem_fix_test_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_iqtree.log,test_1,GPU_H200,DNA,MTEST,100000,383.678,-5692984.527,104779.703,74531.648,3088.688,143771.0,2214.0,,,179311.351
output_gpumem_fix_test_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_V100_GTR-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_iqtree.log,test_1,GPU_V100,DNA,MTEST,100000,740.349,-5692984.529,192130.62,100347.281,2797.25,32768.0,2210.0,,,292477.901
