datatype,sites,hardware,logL,delta
AA,1000,unknown,-76328.934,0.0
AA,1000,unknown,-77823.964,-1495.0300000000134
AA,10000,unknown,-808718.526,-1368.4949999999953
AA,10000,unknown,-807350.031,0.0
AA,100000,cpu_OMP_104,-7541976.86,-3596.975000000559
AA,100000,cpu_OMP_48,-7541976.86,-3596.975000000559
AA,100000,unknown,-7538379.885,0.0
AA,100000,unknown,-7541976.86,-3596.975000000559
AA,100000,unknown,-7541976.853,-3596.9680000003427
AA,100000,unknown,-7541976.853,-3596.9680000003427
AA,100000,unknown,-7541972.803,-3592.918000000529
AA,100000,unknown,-7541974.702,-3594.8169999998063
AA,100000,unknown,-7541974.067,-3594.18200000003
AA,100000,unknown,-7941914.563,-403534.6780000003
AA,100000,unknown,-7548506.542,-10126.657000000589
AA,100000,unknown,-7964675.113,-426295.2280000001
AA,100000,cudajolt_H200,-7541976.852,-3596.967000000179
AA,100000,cudajolt_V100,-7541976.852,-3596.967000000179
AA,100000,cudajolt_modelwise_H200,-7541976.852,-3596.967000000179
AA,100000,cudajolt_modelwise_H200,-7541976.853,-3596.9680000003427
AA,100000,cudajolt_modelwise_H200,-7548154.558,-9774.673000000417
AA,100000,cudajolt_modelwise_H200,-7541972.883,-3592.9980000006035
AA,100000,cudajolt_modelwise_H200,-7541974.702,-3594.8169999998063
AA,100000,cudajolt_modelwise_H200,-7541974.161,-3594.2760000005364
AA,100000,cudajolt_modelwise_H200,-7541974.029,-3594.1440000003204
AA,100000,cudajolt_modelwise_H200,-7941914.563,-403534.6780000003
AA,100000,cudajolt_modelwise_H200,-7541974.075,-3594.19000000041
AA,100000,cudajolt_modelwise_H200,-7541974.438,-3594.5530000003055
AA,100000,cudajolt_modelwise_H200,-7541974.157,-3594.271999999881
AA,100000,cudajolt_modelwise_H200,-7964675.113,-426295.2280000001
AA,100000,openACC_stable_H200,-7541976.86,-3596.975000000559
AA,100000,openACC_stable_H200_nt12,-7541976.86,-3596.975000000559
AA,100000,openACC_stable_V100,-7541976.86,-3596.975000000559
AA,100000,openACC_stable_V100_nt12,-7541976.86,-3596.975000000559
AA,100000,unknown,-7541976.853,-3596.9680000003427
AA,100000,unknown,-7541976.853,-3596.9680000003427
AA,100000,unknown,-70978271.289,-63439891.40400001
AA,100000,unknown,-7609499.909,-71120.02400000021
AA,100000,unknown,-7548154.558,-9774.673000000417
AA,100000,unknown,-7541972.878,-3592.992999999784
AA,100000,unknown,-7541974.702,-3594.8169999998063
AA,100000,unknown,-7541974.193,-3594.3080000001937
AA,100000,unknown,-7541974.015,-3594.1299999998882
AA,100000,unknown,-7941914.563,-403534.6780000003
AA,100000,unknown,-7964675.113,-426295.2280000001
AA,100000,unknown,-7614626.014,-76246.12900000066
AA,100000,unknown,-7548506.542,-10126.657000000589
AA,100000,unknown,-7541972.467,-3592.5820000004023
AA,100000,unknown,-7541974.075,-3594.19000000041
AA,100000,unknown,-7541974.46,-3594.5750000001863
AA,100000,unknown,-7541974.081,-3594.196000000462
AA,100000,unknown,-7964675.113,-426295.2280000001
AA,1000000,cpu_OMP_104,-78605196.573,-8833.922000005841
AA,1000000,cpu_OMP_48,-78605196.573,-8833.922000005841
AA,1000000,unknown,-78596362.651,0.0
AA,1000000,unknown,-78605196.573,-8833.922000005841
AA,1000000,unknown,-78605196.52,-8833.869000002742
AA,1000000,unknown,-78605196.526,-8833.875
AA,1000000,unknown,-78686194.513,-89831.86200000346
AA,1000000,unknown,-78605197.696,-8835.045000001788
AA,1000000,unknown,-78605223.99511835,-8861.344118356705
AA,1000000,unknown,-78605215.249,-8852.598000004888
AA,1000000,unknown,-78605221.579,-8858.9280000031
AA,1000000,unknown,-82958960.162,-4362597.511000007
AA,1000000,unknown,-79416820.101,-820457.450000003
AA,1000000,unknown,-78605195.807,-8833.156000003219
AA,1000000,unknown,-78605224.013,-8861.362000003457
AA,1000000,unknown,-78605217.849,-8855.198000013828
AA,1000000,unknown,-78605221.541,-8858.890000000596
AA,1000000,unknown,-83153299.507,-4556936.856000006
AA,1000000,cudajolt_H200,-78605196.435,-8833.784000009298
AA,1000000,cudajolt_V100,-78605196.435,-8833.784000009298
AA,1000000,cudajolt_modelwise_H200,-78605196.435,-8833.784000009298
AA,1000000,cudajolt_modelwise_H200,-78605196.44,-8833.78900000453
AA,1000000,cudajolt_modelwise_H200,-82958960.162,-4362597.511000007
AA,1000000,cudajolt_modelwise_H200,-79375591.945,-779229.2939999998
AA,1000000,cudajolt_modelwise_H200,-78686194.513,-89831.86200000346
AA,1000000,cudajolt_modelwise_H200,-78605197.696,-8835.045000001788
AA,1000000,cudajolt_modelwise_H200,-78605215.242,-8852.591000005603
AA,1000000,cudajolt_modelwise_H200,-78605220.905,-8858.254000008106
AA,1000000,cudajolt_modelwise_H200,-82958960.162,-4362597.511000007
AA,1000000,cudajolt_modelwise_H200,-79416820.101,-820457.450000003
AA,1000000,cudajolt_modelwise_H200,-78689265.312,-92902.66100001335
AA,1000000,cudajolt_modelwise_H200,-78605195.807,-8833.156000003219
AA,1000000,cudajolt_modelwise_H200,-78605224.013,-8861.362000003457
AA,1000000,cudajolt_modelwise_H200,-78605217.649,-8854.998000010848
AA,1000000,cudajolt_modelwise_H200,-78605221.469,-8858.818000003695
AA,1000000,cudajolt_modelwise_H200,-83153299.507,-4556936.856000006
AA,1000000,openACC_stable_H200,-78605196.573,-8833.922000005841
AA,1000000,openACC_stable_H200_nt12,-78605196.573,-8833.922000005841
AA,1000000,openACC_stable_V100,-78605196.573,-8833.922000005841
AA,1000000,openACC_stable_V100_nt12,-78605196.573,-8833.922000005841
AA,1000000,unknown,-78605196.52,-8833.869000002742
AA,1000000,unknown,-78605196.526,-8833.875
AA,1000000,unknown,-709782712.9,-631186350.249
AA,1000000,unknown,-79375591.945,-779229.2939999998
AA,1000000,unknown,-78686194.513,-89831.86200000346
AA,1000000,unknown,-78605197.696,-8835.045000001788
AA,1000000,unknown,-78605223.99511862,-8861.344118624926
AA,1000000,unknown,-78605220.476,-8857.82500000298
AA,1000000,unknown,-82958960.162,-4362597.511000007
AA,1000000,unknown,-83153299.507,-4556936.856000006
AA,1000000,unknown,-79416820.101,-820457.450000003
AA,1000000,unknown,-78689265.312,-92902.66100001335
AA,1000000,unknown,-78605195.807,-8833.156000003219
AA,1000000,unknown,-78605224.013,-8861.362000003457
AA,1000000,unknown,-78605217.825,-8855.174000009894
AA,1000000,unknown,-78605221.885,-8859.234000012279
AA,1000000,unknown,-83153299.507,-4556936.856000006
AA,10000000,cpu_OMP_104,-782587990.703,-1.7450000047683716
AA,10000000,unknown,-782587989.192,-0.2340000867843628
AA,10000000,unknown,-825762690.314,-43174701.356000066
AA,10000000,unknown,-790171808.176,-7583819.218000054
AA,10000000,unknown,-783373117.155,-785128.1970000267
AA,10000000,unknown,-782588019.921,-30.963000059127808
AA,10000000,unknown,-782588252.922,-263.96400010585785
AA,10000000,unknown,-782588199.1949732,-210.23697328567505
AA,10000000,unknown,-782588260.525994,-271.5679939985275
AA,10000000,unknown,-825762690.315,-43174701.35700011
AA,10000000,unknown,-827775381.071,-45187392.113000035
AA,10000000,unknown,-790602381.657,-8014392.699000001
AA,10000000,unknown,-783405092.745,-817103.7870000601
AA,10000000,unknown,-782587988.958,0.0
AA,10000000,unknown,-782588323.75,-334.7920000553131
AA,10000000,unknown,-782588204.622,-215.66400003433228
AA,10000000,unknown,-782588243.515,-254.557000041008
AA,10000000,unknown,-827775381.072,-45187392.11400008
AA,10000000,cudajolt_modelwise_H200,-782587989.018,-0.060000061988830566
AA,10000000,cudajolt_modelwise_H200,-782587989.025,-0.06700003147125244
AA,10000000,cudajolt_modelwise_H200,-825762690.314,-43174701.356000066
AA,10000000,cudajolt_modelwise_H200,-790171808.176,-7583819.218000054
AA,10000000,cudajolt_modelwise_H200,-783373117.155,-785128.1970000267
AA,10000000,cudajolt_modelwise_H200,-825762690.315,-43174701.35700011
AA,10000000,cudajolt_modelwise_H200,-827775381.071,-45187392.113000035
AA,10000000,cudajolt_modelwise_H200,-783405092.745,-817103.7870000601
AA,10000000,cudajolt_modelwise_H200,-782587988.958,0.0
AA,10000000,cudajolt_modelwise_H200,-827775381.071,-45187392.113000035
AA,10000000,openACC_stable_H200,-782587990.703,-1.7450000047683716
AA,10000000,openACC_stable_H200_nt12,-782587990.703,-1.7450000047683716
AA,10000000,unknown,-782587989.192,-0.2340000867843628
AA,10000000,unknown,-782587989.206,-0.24800002574920654
AA,10000000,unknown,-790171808.176,-7583819.218000054
AA,10000000,unknown,-783373117.155,-785128.1970000267
AA,10000000,unknown,-782588019.921,-30.963000059127808
AA,10000000,unknown,-782588252.922,-263.96400010585785
AA,10000000,unknown,-782588199.3651571,-210.40715718269348
AA,10000000,unknown,-782588259.261,-270.3030000925064
AA,10000000,unknown,-825762690.315,-43174701.35700011
AA,10000000,unknown,-827775381.071,-45187392.113000035
AA,10000000,unknown,-790602381.657,-8014392.699000001
AA,10000000,unknown,-783405092.745,-817103.7870000601
AA,10000000,unknown,-782587988.958,0.0
AA,10000000,unknown,-782588228.418,-239.46000003814697
AA,10000000,unknown,-782588262.423,-273.4650000333786
AA,10000000,unknown,-827775381.071,-45187392.113000035
DNA,1000,unknown,-54933.463,0.0
DNA,1000,unknown,-56180.293,-1246.8299999999945
DNA,10000,unknown,-567495.587,-3286.8110000001034
DNA,10000,unknown,-564208.776,0.0
DNA,100000,cpu_OMP_104,-5692984.539,-11.639999999664724
DNA,100000,cpu_OMP_48,-5692984.539,-11.639999999664724
DNA,100000,unknown,-5716200.653,-23227.753999999724
DNA,100000,unknown,-5692984.539,-11.639999999664724
DNA,100000,unknown,-5692973.087,-0.1880000000819564
DNA,100000,unknown,-5692973.086,-0.1869999999180436
DNA,100000,unknown,-6054682.646,-361709.7469999995
DNA,100000,unknown,-6075199.441,-382226.54199999943
DNA,100000,cudajolt_H200,-5692984.526,-11.626999999396503
DNA,100000,cudajolt_V100,-5692984.526,-11.626999999396503
DNA,100000,cudajolt_modelwise_H200,-5692972.984,-0.0849999999627471
DNA,100000,cudajolt_modelwise_H200,-5692972.899,0.0
DNA,100000,cudajolt_modelwise_H200,-6054682.646,-361709.7469999995
DNA,100000,cudajolt_modelwise_H200,-6075199.436,-382226.53699999955
DNA,100000,openACC_JOLT_h2tiling_H200,-5692984.526,-11.626999999396503
DNA,100000,openACC_JOLT_h2tiling_H200_nt12,-5692984.526,-11.626999999396503
DNA,100000,openACC_stable_H200,-5692984.527,-11.627999999560416
DNA,100000,openACC_stable_H200_nt12,-5692984.527,-11.627999999560416
DNA,100000,openACC_stable_V100,-5692984.529,-11.629999999888241
DNA,100000,openACC_stable_V100_nt12,-5692984.529,-11.629999999888241
DNA,100000,unknown,-5692973.427,-0.5279999999329448
DNA,100000,unknown,-5692973.426,-0.526999999769032
DNA,100000,unknown,-6054771.582,-361798.6830000002
DNA,100000,unknown,-6075235.09,-382262.19099999964
DNA,1000000,cpu_OMP_104,-59208019.212,-3.2349999994039536
DNA,1000000,cpu_OMP_48,-59208019.212,-3.2349999994039536
DNA,1000000,unknown,-59232443.284,-24427.307000003755
DNA,1000000,unknown,-59208019.212,-3.2349999994039536
DNA,1000000,unknown,-59208016.028,-0.050999999046325684
DNA,1000000,unknown,-59208016.03,-0.05300000309944153
DNA,1000000,unknown,-63090954.915,-3882938.938000001
DNA,1000000,unknown,-63265153.247,-4057137.2700000033
DNA,1000000,cudajolt_H200,-59208019.102,-3.125
