file,datatype,sim_model,taxa,sites,build,inference_model,status,host,wall_total_s,wall_tree_s,best_logL,energy_cpu_J,energy_gpu_J,gpu_mem_peak_MB,gpu_mem_delta_MB,cpu_mem_peak_MB,logL_ref,delta_logL,rel_diff
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-G4_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,cpu_OMP_104,LG+G4,COMPLETE,gadi-cpu-spr-0286.gadi.nci.org.au,6.031,0.0,-7541976.853,4362.886,,,,6175.051,-7541976.853,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,cpu_OMP_104,LG+I+G4,COMPLETE,gadi-cpu-spr-0287.gadi.nci.org.au,468.757,0.0,-7541976.853,326906.55,,,,6178.129,-7541976.853,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-R1_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,cpu_OMP_104,LG+I+R1,COMPLETE,gadi-cpu-spr-0567.gadi.nci.org.au,3.316,0.0,-7941914.563,2249.409,,,,3264.055,-7941914.563,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-R2_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,cpu_OMP_104,LG+I+R2,COMPLETE,gadi-cpu-spr-0554.gadi.nci.org.au,13.687,0.0,-7609499.909,8868.599,,,,4732.816,-7609499.909,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-R3_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,cpu_OMP_104,LG+I+R3,COMPLETE,gadi-cpu-spr-0542.gadi.nci.org.au,10.453,0.0,-7548154.558,7258.968,,,,6188.316,-7548154.558,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-R4_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,cpu_OMP_104,LG+I+R4,COMPLETE,gadi-cpu-spr-0252.gadi.nci.org.au,48.702,0.0,-7541972.803,33521.781,,,,7642.719,-7541972.803,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-R5_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,cpu_OMP_104,LG+I+R5,COMPLETE,gadi-cpu-spr-0573.gadi.nci.org.au,88.475,0.0,-7541974.702,60959.035,,,,9097.078,-7541974.702,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-R6_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,cpu_OMP_104,LG+I+R6,COMPLETE,gadi-cpu-spr-0451.gadi.nci.org.au,137.174,0.0,-7541974.067,95010.368,,,,10551.145,-7541974.067,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-R7_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,cpu_OMP_104,LG+I+R7,COMPLETE,gadi-cpu-spr-0571.gadi.nci.org.au,122.437,0.0,-7541973.962,84853.282,,,,12005.18,-7541973.962,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,cpu_OMP_104,LG+I,COMPLETE,gadi-cpu-spr-0571.gadi.nci.org.au,9.076,0.0,-7941914.563,6005.723,,,,1817.023,-7941914.563,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-R1_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,cpu_OMP_104,LG+R1,COMPLETE,gadi-cpu-spr-0542.gadi.nci.org.au,2.299,0.0,-7964675.113,1696.766,,,,1817.125,-7964675.113,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-R2_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,cpu_OMP_104,LG+R2,COMPLETE,gadi-cpu-spr-0451.gadi.nci.org.au,12.454,0.0,-7614626.014,7725.873,,,,4732.805,-7614626.014,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-R3_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,cpu_OMP_104,LG+R3,COMPLETE,gadi-cpu-spr-0451.gadi.nci.org.au,14.756,0.0,-7548506.542,9649.613,,,,6183.945,-7548506.542,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-R4_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,cpu_OMP_104,LG+R4,COMPLETE,gadi-cpu-spr-0554.gadi.nci.org.au,12.236,0.0,-7541972.381,8083.621,,,,7642.555,-7541972.381,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-R5_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,cpu_OMP_104,LG+R5,COMPLETE,gadi-cpu-spr-0451.gadi.nci.org.au,126.257,0.0,-7541974.075,87178.82,,,,9097.238,-7541974.075,0.0,0.0
