datatype,sites,inference_model,cudajolt_H200,openACC_H200
AA,100000,LG,1.1533742331288344,1.4523605150214591
AA,100000,LG+G4,1.4673965936739657,1.7118932727788816
AA,100000,LG+I,0.6285753861070712,3.1071550838753854
AA,100000,LG+I+G4,17.051289512931504,1.5071118541619781
AA,100000,LG+I+R1,0.3575973255688558,2.9087719298245616
AA,100000,LG+I+R2,0.280189973182665,2.188519347617525
AA,100000,LG+I+R3,0.20685492648368392,1.8448641016590184
AA,100000,LG+I+R4,0.16589852332532828,1.5842170320733848
AA,100000,LG+I+R5,0.1304529248880147,1.3915101758359283
AA,100000,LG+I+R6,0.1257407690890408,1.4036304846103473
AA,100000,LG+I+R7,0.12559199654521228,1.4870409055577147
AA,100000,LG+R1,1.638631503920171,1.7698229407236337
AA,100000,LG+R2,0.3031940792676989,2.127070879590094
AA,100000,LG+R3,0.29086178348971065,2.324877895068536
AA,100000,LG+R4,0.283457270600227,2.3395793499043975
AA,100000,LG+R5,0.16350806033857565,1.8044705512441226
AA,100000,LG+R6,0.13617398375077733,1.6172918426519942
AA,100000,LG+R7,0.12177812953436223,1.419399276770559
AA,1000000,LG,1.5894034772182255,2.178186299681627
AA,1000000,LG+G4,1.036248887450441,1.3911075708751222
AA,1000000,LG+I,0.18902254478989255,1.553680308277645
AA,1000000,LG+I+G4,25.217685156307027,1.986457101129128
AA,1000000,LG+I+R1,0.3126711867450945,2.975854700854701
AA,1000000,LG+I+R2,0.15767484404743265,1.6149901880103819
AA,1000000,LG+I+R3,0.08913345156033169,1.895847994370162
AA,1000000,LG+I+R4,0.09684561506015062,2.0990988064616327
AA,1000000,LG+I+R5,,1.9777235305575418
AA,1000000,LG+I+R6,0.08964999355338145,
AA,1000000,LG+I+R7,0.1019849718491781,1.897624146540565
AA,1000000,LG+R1,1.413550536838208,1.8655330792533957
AA,1000000,LG+R2,0.12289285359832927,1.357799449395735
AA,1000000,LG+R3,0.08739927686221631,1.6288605315692644
AA,1000000,LG+R4,0.07232504866480971,1.2799423584110496
AA,1000000,LG+R5,0.09547924595458995,1.9170573630611705
AA,1000000,LG+R6,0.09290254411216026,1.8124147942438777
AA,1000000,LG+R7,0.10322564467551265,1.962616710639636
AA,10000000,LG,0.5163397616420459,1.1523891203136487
AA,10000000,LG+G4,0.780714669484658,2.246542755374852
AA,10000000,LG+I,0.12296769886699838,2.3638816064440142
AA,10000000,LG+I+G4,23.356605843360995,2.091704017679942
AA,10000000,LG+I+R1,0.10620581032191423,
AA,10000000,LG+I+R2,0.11082824144048634,2.3893634019981715
AA,10000000,LG+I+R3,0.11339708359692109,2.839544184865414
AA,10000000,LG+I+R4,,2.4767564271952844
AA,10000000,LG+I+R5,,2.6114467802901395
AA,10000000,LG+I+R6,,2.3730650143931427
AA,10000000,LG+I+R7,,4.416485387209731
AA,10000000,LG+R1,0.737645501186076,1.5620860056776362
AA,10000000,LG+R2,,2.670536623473975
AA,10000000,LG+R3,0.10676051707816138,2.3824846981094296
AA,10000000,LG+R4,0.12559272028733404,3.2256676456526194
AA,10000000,LG+R6,,2.992296586076097
AA,10000000,LG+R7,,1.7336333373217558
DNA,100000,GTR,3.1381653454133636,1.1887601887601886
DNA,100000,GTR+G4,4.206193969030155,1.3281008749356664
DNA,100000,GTR+I,1.2117863720073665,1.9548425430778371
DNA,100000,GTR+I+G4,13.604281475201358,1.0803463975829597
DNA,1000000,GTR,2.5586326950466844,1.674225950088019
DNA,1000000,GTR+G4,3.0029421749462486,1.6479537974290503
DNA,1000000,GTR+I,0.2858572114615015,1.6976827094474154
DNA,1000000,GTR+I+G4,31.65509941089838,2.404625575302918
DNA,10000000,GTR,0.8311092182472081,1.098167948477459
DNA,10000000,GTR+G4,2.68973907046247,2.0974483850727537
DNA,10000000,GTR+I,0.30887218688496537,1.938963931197332
DNA,10000000,GTR+I+G4,27.99753495774055,3.2713210427826893
