file,datatype,model,taxa,sites,hardware,status,nt,host,distinct_patterns,wall_total_s,wall_tree_s,is_resumed,wall_fastml_s,best_logL,energy_cpu_total_J,energy_gpu_total_J,energy_cpu_ts_J,energy_gpu_ts_J,energy_cpu_mf_J,energy_gpu_mf_J,gpu_mem_peak_MB,gpu_mem_cap_MB,gpu_mem_delta_MB,cpu_mem_peak_MB,cpu_mem_cap_MB,wall_mf_s
output_cpu_bootstrap_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_1000len_ninit2_BOOT100_aa.log,AA,LG+I+G4,100,1000,unknown,COMPLETE,103.0,gadi-cpu-spr-0492.gadi.nci.org.au,981,82.784,51.855,False,4.809,-76328.934,4616028.09,,32801.34,,19569.707,,,,,121.59,515652.531,30.92900000000001
output_cpu_bootstrap_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_1000len_ninit2_UFBOOT1000_aa.log,AA,LG+I+G4,100,1000,unknown,COMPLETE,103.0,gadi-cpu-spr-0494.gadi.nci.org.au,981,138.166,114.363,False,2.289,-77823.964,87548.622,,72135.723,,14736.372,,,,,162.84,515652.496,23.802999999999997
output_cpu_bootstrap_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_10000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_10000len_ninit2_BOOT100_aa.log,AA,LG+I+G4,100,10000,unknown,COMPLETE,103.0,gadi-cpu-spr-0544.gadi.nci.org.au,9786,134.238,69.237,False,5.93,-808718.526,5803713.07,,44314.034,,42919.554,,,,,968.324,515652.508,65.001
output_cpu_bootstrap_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_10000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_10000len_ninit2_UFBOOT1000_aa.log,AA,LG+I+G4,100,10000,unknown,COMPLETE,103.0,gadi-cpu-spr-0555.gadi.nci.org.au,9786,160.062,89.2,False,5.636,-807350.031,106458.088,,58752.7,,46454.809,,,,,958.355,515652.559,70.86200000000001
output_cpu_bfgs_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_100000len_ninit2_optalg2BFGS_aa.log,AA,LG+I+G4,100,100000,cpu_OMP_104,COMPLETE,104.0,gadi-cpu-spr-0672.gadi.nci.org.au,96017,1197.74,692.117,False,16.813,-7541976.86,828472.128,,479647.336,,344962.44,,,,,7730.859,515652.539,505.62300000000005
output_cpu_bfgs_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_100000len_ninit2_optalg2BFGS_aa.log,AA,LG+I+G4,100,100000,cpu_OMP_48,COMPLETE,48.0,gadi-cpu-clx-0035.gadi.nci.org.au,96017,2738.308,1523.493,False,35.315,-7541976.86,1295897.949,,722128.029,,568014.57,,,,,7719.309,193084.602,1214.815
output_cpu_bootstrap_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_100000len_ninit2_BOOT100_aa.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,103.0,gadi-cpu-spr-0572.gadi.nci.org.au,96017,716.273,332.252,False,16.775,-7538379.885,27232512.005,,231962.307,,261305.409,,,,,9152.453,515652.543,384.021
output_cpu_bootstrap_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_100000len_ninit2_UFBOOT1000_aa.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,103.0,gadi-cpu-spr-0542.gadi.nci.org.au,96017,899.61,514.523,False,17.48,-7541976.86,625505.038,,359109.173,,260704.513,,,,,9166.855,515652.531,385.087
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-G4_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,104.0,gadi-cpu-spr-0286.gadi.nci.org.au,96017,6.031,0.0,False,,-7541976.853,4362.886,,0.0,,,,,,,6175.051,515652.566,6.031
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_100000len_modelwise_te_aa.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,104.0,gadi-cpu-spr-0287.gadi.nci.org.au,96017,468.757,0.0,False,,-7541976.853,326906.55,,0.0,,,,,,,6178.129,515652.504,468.757
