datatype,model,taxa,sites,cpu_OMP_104,cpu_OMP_48,cudajolt_H200,cudajolt_V100,cudajolt_modelwise_H200,openACC_JOLT_h2tiling_H200,openACC_JOLT_h2tiling_H200_nt12,openACC_stable_H200,openACC_stable_H200_nt12,openACC_stable_V100,openACC_stable_V100_nt12,unknown
AA,LG+I+G4,100,1000,,,,,,,,,,,,COMPLETE
AA,LG+I+G4,100,10000,,,,,,,,,,,,COMPLETE
AA,LG+I+G4,100,100000,COMPLETE,COMPLETE,STILL_RUNNING,STILL_RUNNING,COMPLETE,,,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
AA,LG+I+G4,100,1000000,COMPLETE,COMPLETE,STILL_RUNNING,STILL_RUNNING,COMPLETE,,,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
AA,LG+I+G4,100,10000000,COMPLETE,,STILL_RUNNING,STILL_RUNNING,COMPLETE,,,COMPLETE,COMPLETE,,,STILL_RUNNING
DNA,GTR+I+G4,100,1000,,,,,,,,,,,,COMPLETE
DNA,GTR+I+G4,100,10000,,,,,,,,,,,,COMPLETE
DNA,GTR+I+G4,100,100000,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
DNA,GTR+I+G4,100,1000000,COMPLETE,COMPLETE,STILL_RUNNING,STILL_RUNNING,COMPLETE,,,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
DNA,GTR+I+G4,100,10000000,COMPLETE,CRASHED,OOM,OOM,COMPLETE,,,COMPLETE,COMPLETE,CRASHED,CRASHED,STILL_RUNNING
