file,variant,cpu,dataset,datatype,taxa,sites,status,n_wallclock_lines,wall_total_s,wall_mf_s,wall_tree_s,bash_walltime_s,best_logL,best_model,n_sequences,n_columns,distinct_patterns,host,has_contree,has_splits_nex,has_boottrees,has_iqtree,support_n,support_median,support_mean,support_ge95,support_ge70,support_lt70,logL_ref,delta_logL
output_cpu_bootstrap_AA_Yeast_nc_OMP_104_taxa23_run1_tree_1_634530_iqtree3_AA_INTEL_VANILA_OMP104_Yeast_nc_23taxa_634530len_ninit2_optalg2BFGS_BOOT100_634530_aa.log,BOOT100,OMP_104,Yeast_nc,AA,23,634530,COMPLETE,101,158887.743,34314.612,1220.176,,-12795214.276,Q.YEAST+I+R8,23.0,634530.0,390960.0,gadi-cpu-spr-0070.gadi.nci.org.au,True,False,True,True,20,100.0,100.0,20.0,20.0,0.0,-12794856.401,-357.875
output_cpu_bootstrap_DNA_Birds_OMP_104_taxa200_run1_tree_1_394686_iqtree3_DNA_INTEL_VANILA_OMP104_Birds_200taxa_394686len_ninit2_optalg2BFGS_BOOT100_394686.log,BOOT100,OMP_104,Birds,DNA,200,394686,COMPLETE,101,120413.758,7442.6,1056.434,,-9465710.464,GTR+F+I+R9,200.0,394686.0,226490.0,gadi-cpu-spr-0288.gadi.nci.org.au,True,False,True,True,197,100.0,95.54314720812182,176.0,183.0,14.0,-9443208.277,-22502.186999998987
output_cpu_bootstrap_DNA_InsectsB_OMP_104_taxa48_run1_tree_1_2938039_iqtree3_DNA_INTEL_VANILA_OMP104_InsectsB_48taxa_2938039len_ninit2_optalg2BFGS_BOOT100_2938039.log,BOOT100,OMP_104,InsectsB,DNA,48,2938039,COMPLETE,119,37141.323,9933.134,1783.161,172872.564241,-26723945.942,GTR+F+I+R6,48.0,2938039.0,1396402.0,gadi-cpu-spr-0690.gadi.nci.org.au,True,False,True,True,45,100.0,91.2,34.0,38.0,7.0,-26711760.127,-12185.815000001341
output_cpu_bootstrap_DNA_Lassa_Virus_OMP_104_taxa179_run1_tree_1_3226_iqtree3_DNA_INTEL_VANILA_OMP104_Lassa_Virus_179taxa_3226len_ninit2_optalg2BFGS_BOOT100_3226.log,BOOT100,OMP_104,Lassa_Virus,DNA,179,3226,COMPLETE,101,28064.322,32.448,371.301,,-63266.813,GTR+R5,179.0,3186.0,1475.0,gadi-cpu-spr-0040.gadi.nci.org.au,True,False,True,True,176,96.0,81.13068181818181,93.0,129.0,47.0,-64171.452,904.6389999999956
output_cpu_bootstrap_DNA_Lassa_Virus_OMP_48_taxa179_run1_tree_1_3226_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_Lassa_Virus_179taxa_3226len_ninit2_optalg2BFGS_BOOT100_3226.log,BOOT100,OMP_48,Lassa_Virus,DNA,179,3226,COMPLETE,101,16279.07,29.408,117.925,,-63267.196,GTR+R5,179.0,3186.0,1475.0,gadi-cpu-clx-2913.gadi.nci.org.au,True,False,True,True,176,96.0,81.07954545454545,92.0,128.0,48.0,-64171.452,904.255999999994
output_cpu_bootstrap_DNA_Lassa_Virus_OMP_48_taxa179_run1_tree_1_3226_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_Lassa_Virus_179taxa_3226len_ninit2_optalg2BFGS_UFBOOT1000_3226.log,UFBOOT1000,OMP_48,Lassa_Virus,DNA,179,3226,COMPLETE,1,422.578,32.263,388.373,,-64171.704,GTR+R5,179.0,3186.0,1475.0,gadi-cpu-clx-2942.gadi.nci.org.au,True,True,False,True,175,100.0,93.48571428571428,142.0,158.0,17.0,-64171.452,-0.25200000000040745
output_cpu_bootstrap_DNA_Mammal_B_OMP_104_taxa274_run1_tree_1_7463_iqtree3_DNA_INTEL_VANILA_OMP104_Mammal_B_274taxa_7463len_ninit2_optalg2BFGS_BOOT100_7463.log,BOOT100,OMP_104,Mammal_B,DNA,274,7463,COMPLETE,101,48422.007,187.23,140.639,,-338517.547,GTR+F+R8,274.0,7370.0,4303.0,gadi-cpu-spr-0059.gadi.nci.org.au,True,False,True,True,271,100.0,85.43173431734317,164.0,211.0,60.0,-338398.557,-118.9900000000489
output_cpu_bootstrap_DNA_Mammal_OMP_104_taxa37_run1_tree_1_1409139_iqtree3_DNA_INTEL_VANILA_OMP104_Mammal_37taxa_1409139len_ninit2_optalg2BFGS_BOOT100_1409139.log,BOOT100,OMP_104,Mammal,DNA,37,1409139,COMPLETE,101,40847.862,2926.891,242.307,,-13172868.906,GTR+F+R5,37.0,1391742.0,775579.0,gadi-cpu-spr-0063.gadi.nci.org.au,True,False,True,True,34,100.0,98.94117647058823,32.0,34.0,0.0,-13169123.543,-3745.3629999998957
output_cpu_bootstrap_DNA_Plants_OMP_104_taxa16_run1_tree_1_4246454_iqtree3_DNA_INTEL_VANILA_OMP104_Plants_16taxa_4246454len_ninit2_optalg2BFGS_BOOT100_4246454.log,BOOT100,OMP_104,Plants,DNA,16,4246454,COMPLETE,101,3723.556,186.816,29.416,,-15403089.413,GTR+F+I+R5,16.0,4246454.0,190352.0,gadi-cpu-spr-0064.gadi.nci.org.au,True,False,True,True,13,100.0,100.0,13.0,13.0,0.0,-15408509.6,5420.186999998987
output_cpu_bootstrap_DNA_Plants_OMP_48_taxa16_run1_tree_1_4246454_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_Plants_16taxa_4246454len_ninit2_optalg2BFGS_UFBOOT1000_4246454.log,UFBOOT1000,OMP_48,Plants,DNA,16,4246454,COMPLETE,1,398.477,325.573,52.387,,-15408511.977,GTR+F+I+R4,16.0,4246454.0,190352.0,gadi-cpu-clx-1498.gadi.nci.org.au,True,True,False,True,13,100.0,100.0,13.0,13.0,0.0,-15408509.6,-2.3770000003278255
