file,variant,cpu,dataset,datatype,taxa,sites,status,n_wallclock_lines,wall_total_s,wall_mf_s,wall_tree_s,bash_walltime_s,best_logL,best_model,n_sequences,n_columns,distinct_patterns,host,has_contree,has_splits_nex,has_boottrees,has_iqtree,support_n,support_median,support_mean,support_ge95,support_ge70,support_lt70
output_cpu_bootstrap_AA_Green_plants_OMP_104_taxa360_run1_tree_1_19449_iqtree3_AA_INTEL_VANILA_OMP104_Green_plants_360taxa_19449len_ninit2_optalg2BFGS_BOOT100_19449_aa.log,BOOT100,OMP_104,Green_plants,AA,360,19449,STILL_RUNNING,151,172768.72,17066.305,1740.458,345812.136341,-1412016.113,Q.BIRD+F+R10,360.0,19449.0,17789.0,gadi-cpu-spr-0431.gadi.nci.org.au,False,False,True,False,0,,,,,
output_cpu_bootstrap_AA_Green_plants_OMP_104_taxa360_run1_tree_1_19449_iqtree3_AA_INTEL_VANILA_OMP104_Green_plants_360taxa_19449len_ninit2_optalg2BFGS_UFBOOT1000_19449_aa.log,UFBOOT1000,OMP_104,Green_plants,AA,360,19449,COMPLETE,1,20150.141,17148.148,2828.667,,-1410001.162,Q.BIRD+F+R10,360.0,19449.0,17789.0,gadi-cpu-spr-0065.gadi.nci.org.au,True,True,False,True,357,100.0,97.95238095238095,322.0,348.0,9.0
output_cpu_bootstrap_AA_Green_plants_OMP_48_taxa360_run1_tree_1_19449_iqtree3_AA_INTEL_VANILA_CLX_OMP48_Green_plants_360taxa_19449len_ninit2_optalg2BFGS_BOOT100_19449_aa.log,BOOT100,OMP_48,Green_plants,AA,360,19449,STILL_RUNNING,0,,,,570.164564,,,360.0,19449.0,17789.0,gadi-cpu-clx-2991.gadi.nci.org.au,False,False,True,False,0,,,,,
output_cpu_bootstrap_AA_Green_plants_OMP_48_taxa360_run1_tree_1_19449_iqtree3_AA_INTEL_VANILA_CLX_OMP48_Green_plants_360taxa_19449len_ninit2_optalg2BFGS_UFBOOT1000_19449_aa.log,UFBOOT1000,OMP_48,Green_plants,AA,360,19449,STILL_RUNNING,0,,,,464.75398,,,360.0,19449.0,17789.0,gadi-cpu-clx-1501.gadi.nci.org.au,False,False,False,False,0,,,,,
output_cpu_bootstrap_AA_Vertebrate_OMP_104_taxa58_run1_tree_1_1806036_iqtree3_AA_INTEL_VANILA_OMP104_Vertebrate_58taxa_1806036len_ninit2_optalg2BFGS_BOOT100_1806036_aa.log,BOOT100,OMP_104,Vertebrate,AA,58,1806036,CRASHED,0,,,,,,,,,,gadi-cpu-spr-0142.gadi.nci.org.au,False,False,False,False,0,,,,,
output_cpu_bootstrap_AA_Vertebrate_OMP_104_taxa58_run1_tree_1_1806036_iqtree3_AA_INTEL_VANILA_OMP104_Vertebrate_58taxa_1806036len_ninit2_optalg2BFGS_UFBOOT1000_1806036_aa.log,UFBOOT1000,OMP_104,Vertebrate,AA,58,1806036,CRASHED,0,,,,,,,,,,gadi-cpu-spr-0129.gadi.nci.org.au,False,False,False,False,0,,,,,
output_cpu_bootstrap_AA_Yeast_nc_OMP_104_taxa23_run1_tree_1_634530_iqtree3_AA_INTEL_VANILA_OMP104_Yeast_nc_23taxa_634530len_ninit2_optalg2BFGS_BOOT100_634530_aa.log,BOOT100,OMP_104,Yeast_nc,AA,23,634530,COMPLETE,101,158887.743,34314.612,1220.176,,-12795214.276,Q.YEAST+I+R8,23.0,634530.0,390960.0,gadi-cpu-spr-0070.gadi.nci.org.au,True,False,True,True,20,100.0,100.0,20.0,20.0,0.0
output_cpu_bootstrap_AA_Yeast_nc_OMP_104_taxa23_run1_tree_1_634530_iqtree3_AA_INTEL_VANILA_OMP104_Yeast_nc_23taxa_634530len_ninit2_optalg2BFGS_UFBOOT1000_634530_aa.log,UFBOOT1000,OMP_104,Yeast_nc,AA,23,634530,COMPLETE,1,38350.589,36415.454,1610.538,,-12794856.401,Q.YEAST+I+R8,23.0,634530.0,390960.0,gadi-cpu-spr-0539.gadi.nci.org.au,True,True,False,True,20,100.0,100.0,20.0,20.0,0.0
output_cpu_bootstrap_AA_Yeast_nc_OMP_48_taxa23_run1_tree_1_634530_iqtree3_AA_INTEL_VANILA_CLX_OMP48_Yeast_nc_23taxa_634530len_ninit2_optalg2BFGS_BOOT100_634530_aa.log,BOOT100,OMP_48,Yeast_nc,AA,23,634530,STILL_RUNNING,0,,,,464.588254,,,23.0,634530.0,390960.0,gadi-cpu-clx-1502.gadi.nci.org.au,False,False,True,False,0,,,,,
output_cpu_bootstrap_DNA_Birds_OMP_104_taxa200_run1_tree_1_394686_iqtree3_DNA_INTEL_VANILA_OMP104_Birds_200taxa_394686len_ninit2_optalg2BFGS_BOOT100_394686.log,BOOT100,OMP_104,Birds,DNA,200,394686,COMPLETE,101,120413.758,7442.6,1056.434,,-9465710.464,GTR+F+I+R9,200.0,394686.0,226490.0,gadi-cpu-spr-0288.gadi.nci.org.au,True,False,True,True,197,100.0,95.54314720812182,176.0,183.0,14.0
output_cpu_bootstrap_DNA_Birds_OMP_104_taxa200_run1_tree_1_394686_iqtree3_DNA_INTEL_VANILA_OMP104_Birds_200taxa_394686len_ninit2_optalg2BFGS_UFBOOT1000_394686.log,UFBOOT1000,OMP_104,Birds,DNA,200,394686,COMPLETE,1,9642.163,7403.378,1420.673,,-9443208.277,GTR+F+I+R9,200.0,394686.0,226490.0,gadi-cpu-spr-0694.gadi.nci.org.au,True,True,False,True,197,100.0,97.751269035533,182.0,191.0,6.0
output_cpu_bootstrap_DNA_Birds_OMP_48_taxa200_run1_tree_1_394686_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_Birds_200taxa_394686len_ninit2_optalg2BFGS_BOOT100_394686.log,BOOT100,OMP_48,Birds,DNA,200,394686,STILL_RUNNING,0,,,,848.828108,,,200.0,394686.0,226490.0,gadi-cpu-clx-1000.gadi.nci.org.au,False,False,True,False,0,,,,,
output_cpu_bootstrap_DNA_Birds_OMP_48_taxa200_run1_tree_1_394686_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_Birds_200taxa_394686len_ninit2_optalg2BFGS_UFBOOT1000_394686.log,UFBOOT1000,OMP_48,Birds,DNA,200,394686,STILL_RUNNING,0,,,,848.83087,,,200.0,394686.0,226490.0,gadi-cpu-clx-0993.gadi.nci.org.au,False,False,False,False,0,,,,,
output_cpu_bootstrap_DNA_Butterfly_OMP_104_taxa61_run1_tree_1_5267461_iqtree3_DNA_INTEL_VANILA_OMP104_Butterfly_61taxa_5267461len_ninit2_optalg2BFGS_BOOT100_5267461.log,BOOT100,OMP_104,Butterfly,DNA,61,5267461,STILL_RUNNING,57,168720.393,71487.703,7063.151,345759.212202,-82925690.301,GTR+F+I+R8,61.0,5267461.0,3762723.0,gadi-cpu-spr-0595.gadi.nci.org.au,False,False,True,False,0,,,,,
