variant,,,,BOOT100,BOOT100,UFBOOT1000,UFBOOT1000
cpu,,,,OMP_104,OMP_48,OMP_104,OMP_48
datatype,dataset,taxa,sites,,,,
AA,Green_plants,360,19449,STILL_RUNNING,STILL_RUNNING,COMPLETE,STILL_RUNNING
AA,Vertebrate,58,1806036,CRASHED,,CRASHED,
AA,Yeast_nc,23,634530,COMPLETE,STILL_RUNNING,COMPLETE,
DNA,Birds,200,394686,COMPLETE,STILL_RUNNING,COMPLETE,STILL_RUNNING
DNA,Butterfly,61,5267461,STILL_RUNNING,STILL_RUNNING,COMPLETE,
DNA,InsectsA,174,3011544,CRASHED,,CRASHED,CRASHED
DNA,InsectsB,48,2938039,COMPLETE,STILL_RUNNING,COMPLETE,
DNA,Lassa_Virus,179,3226,COMPLETE,COMPLETE,COMPLETE,COMPLETE
DNA,Mammal,37,1409139,COMPLETE,,COMPLETE,
DNA,Mammal_B,274,7463,COMPLETE,,COMPLETE,
DNA,Plants,16,4246454,COMPLETE,STILL_RUNNING,COMPLETE,COMPLETE
