file,datatype,dataset,taxa,sites,hardware,status,host,best_model,n_sequences,n_columns,distinct_patterns,wall_total_s,wall_tree_s,wall_mf_s,best_logL,energy_cpu_ts_J,energy_gpu_ts_J,energy_cpu_mf_J,energy_gpu_mf_J,gpu_mem_peak_MB,gpu_mem_cap_MB,gpu_mem_delta_MB,cpu_mem_peak_MB,cpu_mem_cap_MB,bash_walltime_s,energy_cpu_total_J,energy_gpu_total_J,logL_ref,delta_logL,rel_diff
output_cpu_bfgs_AA_Green_plants_OMP_48_taxa360_run1_tree_1_19449_iqtree3_AA_INTEL_VANILA_CLX_OMP48_Green_plants_360taxa_19449len_ninit2_optalg2BFGS_19449_aa.log,AA,Green_plants,360,19449,cpu_OMP_48,COMPLETE,gadi-cpu-clx-0978.gadi.nci.org.au,Q.BIRD+F+R10,360.0,19449.0,17789.0,27547.386,4119.946,22875.968,-1409996.486,1946820.546,,10923470.985,,,,,10145.633,193084.566,,12870291.531,,-1410001.549,5.063000000081956,3.590776197141579e-06
output_cpu_bfgs_AA_Yeast_nc_OMP_48_taxa23_run1_tree_1_634530_iqtree3_AA_INTEL_VANILA_CLX_OMP48_Yeast_nc_23taxa_634530len_ninit2_optalg2BFGS_634530_aa.log,AA,Yeast_nc,23,634530,cpu_OMP_48,COMPLETE,gadi-cpu-clx-0717.gadi.nci.org.au,Q.YEAST+I+R8,23.0,634530.0,390960.0,84547.982,3526.094,80563.287,-12794880.37,1572625.91,,38280462.03,,,,,13834.949,193084.629,,39853087.94,,-12794856.401,-23.968999998643994,-1.8733309110660016e-06
output_cpu_bfgs_DNA_Birds_OMP_48_taxa200_run1_tree_1_394686_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_Birds_200taxa_394686len_ninit2_optalg2BFGS_394686.log,DNA,Birds,200,394686,cpu_OMP_48,COMPLETE,gadi-cpu-clx-0980.gadi.nci.org.au,GTR+F+I+R10,200.0,394686.0,226490.0,33862.476,4836.749,26628.805,-9443177.492,2120371.099,,11536326.227,,,,,15769.234,193084.602,,13656697.326,,-9443211.36,33.86799999885261,3.586491788409215e-06
output_cpu_bfgs_DNA_InsectsB_OMP_48_taxa48_run1_tree_1_2938039_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_InsectsB_48taxa_2938039len_ninit2_optalg2BFGS_2938039.log,DNA,InsectsB,48,2938039,cpu_OMP_48,COMPLETE,gadi-cpu-clx-1003.gadi.nci.org.au,GTR+F+I+R6,48.0,2938039.0,1396402.0,32543.817,4521.694,26907.898,-26711765.441,1800520.935,,10476594.052,,,,,23407.133,193084.598,,12277114.987,,-26711761.899,-3.541999999433756,-1.3260076264629913e-07
output_cpu_bfgs_DNA_Lassa_Virus_OMP_48_taxa179_run1_tree_1_3226_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_Lassa_Virus_179taxa_3226len_ninit2_optalg2BFGS_3226.log,DNA,Lassa_Virus,179,3226,cpu_OMP_48,COMPLETE,gadi-cpu-clx-1798.gadi.nci.org.au,GTR+R5,179.0,3186.0,1475.0,487.016,424.214,60.083,-64171.541,145977.929,,21309.466,,,,,408.125,193084.594,,167287.39500000002,,-64171.532,-0.008999999998195563,-1.4024910607082846e-07
output_cpu_bfgs_DNA_Mammal_B_OMP_48_taxa274_run1_tree_1_7463_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_Mammal_B_274taxa_7463len_ninit2_optalg2BFGS_7463.log,DNA,Mammal_B,274,7463,cpu_OMP_48,COMPLETE,gadi-cpu-clx-0704.gadi.nci.org.au,GTR+F+R8,274.0,7370.0,4303.0,456.723,167.413,281.031,-338396.79,58544.276,,114278.691,,,,,718.016,193084.609,,172822.967,,-338396.679,-0.11099999997531995,-3.2801740343119604e-07
output_cpu_bfgs_DNA_Mammal_OMP_48_taxa37_run1_tree_1_1409139_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_Mammal_37taxa_1409139len_ninit2_optalg2BFGS_1409139.log,DNA,Mammal,37,1409139,cpu_OMP_48,COMPLETE,gadi-cpu-clx-1000.gadi.nci.org.au,GTR+F+I+R5,37.0,1391742.0,775579.0,15509.075,1541.771,13495.035,-13169084.503,650458.558,,5674633.15,,,,,7320.551,193084.621,,6325091.708000001,,-13169123.543,39.03999999910593,2.9645101188117792e-06
output_cpu_bfgs_DNA_Plants_OMP_48_taxa16_run1_tree_1_4246454_iqtree3_DNA_INTEL_VANILA_CLX_OMP48_Plants_16taxa_4246454len_ninit2_optalg2BFGS_4246454.log,DNA,Plants,16,4246454,cpu_OMP_48,COMPLETE,gadi-cpu-clx-0705.gadi.nci.org.au,GTR+F+I+R4,16.0,4246454.0,190352.0,333.079,44.147,280.471,-15408512.014,18933.974,,117995.606,,,,,1093.125,193084.602,,136929.58,,-15408509.6,-2.4140000008046627,-1.5666667727582575e-07
output_openacc_stable_bfgs_AA_Green_plants_OPENACC_taxa360_run1_tree_1_19449_iqtree3_AA_OPENACC_A100_Green_plants_360taxa_19449len_ninit2_optalg2BFGS_rerun_OPENACC_run1_19449_aa_iqtree.log,AA,Green_plants,360,19449,openACC_A100,COMPLETE,gadi-dgx-a100-0002.gadi.nci.org.au,Q.BIRD+F+R10,360.0,19449.0,17789.0,25730.725,3568.007,21689.508,-1409996.815,820188.679,739243.921,5011774.875,5739150.145,51068.812,81920.0,50066.0,407.191,2064034.527,,5831963.554,6478394.066,-1410001.549,4.734000000171363,3.3574431202070707e-06
output_openacc_stable_bfgs_AA_Green_plants_OPENACC_taxa360_run1_tree_1_19449_iqtree3_AA_OPENACC_H200_Green_plants_360taxa_19449len_ninit2_optalg2BFGS_OPENACC_run1_19449_aa_iqtree.log,AA,Green_plants,360,19449,openACC_H200,COMPLETE,gadi-gpu-h200-0017.gadi.nci.org.au,Q.BIRD+F+R10,360.0,19449.0,17789.0,8878.139,2126.77,6428.569,-1409998.661,562604.491,626277.749,1703700.004,2472497.438,50942.688,143771.0,50068.0,407.559,1031781.77,,2266304.495,3098775.187,-1410001.549,2.8880000000353903,2.0482247002378222e-06
