datatype,dataset,taxa,sites,cpu_OMP_48,cpu_OMP_104,openACC_V100,openACC_A100,openACC_H200
AA,Green_plants,360,19449,COMPLETE,COMPLETE,STILL_RUNNING,STILL_RUNNING,COMPLETE
AA,Vertebrate,58,1806036,CRASHED,CRASHED,CRASHED,CRASHED,CRASHED
AA,Yeast_nc,23,634530,COMPLETE,COMPLETE,STILL_RUNNING,STILL_RUNNING,COMPLETE
DNA,Birds,200,394686,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
DNA,Butterfly,61,5267461,STILL_RUNNING,COMPLETE,CRASHED,STILL_RUNNING,STILL_RUNNING
DNA,InsectsA,174,3011544,CRASHED,CRASHED,CRASHED,CRASHED,CRASHED
DNA,InsectsB,48,2938039,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
DNA,Lassa_Virus,179,3226,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
DNA,Mammal,37,1409139,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
DNA,Mammal_B,274,7463,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
DNA,Plants,16,4246454,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
