file,host,runtime_sec
output_100taxa_1000000_iqtree_15.log,"gadi-cpu-clx-2760.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.044
output_100taxa_1000000_iqtree_29.log,"gadi-cpu-clx-1042.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.026
output_100taxa_1000000_iqtree_2.log,"gadi-cpu-clx-2760.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.166
output_100taxa_1000000_iqtree_3.log,"gadi-cpu-clx-0536.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.133
output_100taxa_1000000_iqtree_28.log,"gadi-cpu-clx-1042.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.015
output_100taxa_1000000_iqtree_14.log,"gadi-cpu-clx-0896.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",1.994
output_100taxa_1000000_iqtree_16.log,"gadi-cpu-clx-2760.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.396
output_100taxa_1000000_iqtree_.log,"gadi-cpu-clx-1756.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",1.981
output_100taxa_1000000_iqtree_1.log,"gadi-cpu-clx-2724.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.0
output_100taxa_1000000_iqtree_17.log,"gadi-cpu-clx-2760.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.433
output_100taxa_1000000_iqtree_13.log,"gadi-cpu-clx-0720.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",1.992
output_100taxa_1000000_iqtree_4.log,"gadi-cpu-clx-2625.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.173
output_100taxa_1000000_iqtree_5.log,"gadi-cpu-clx-2625.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.151
output_100taxa_1000000_iqtree_12.log,"gadi-cpu-clx-1666.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.04
output_100taxa_1000000_iqtree_10.log,"gadi-cpu-clx-2552.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.066
output_100taxa_1000000_iqtree_7.log,"gadi-cpu-clx-2625.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.153
output_100taxa_1000000_iqtree_6.log,"gadi-cpu-clx-2625.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.107
output_100taxa_1000000_iqtree.log,"gadi-login-02.gadi.nci.org.au (AVX512, FMA3, 250 GB RAM)",5.707
output_100taxa_1000000_iqtree_20.log,"gadi-cpu-clx-2760.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.054
output_100taxa_1000000_iqtree_21.log,"gadi-cpu-clx-2760.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.047
output_100taxa_1000000_iqtree_8.log,"gadi-cpu-clx-2625.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.132
output_100taxa_1000000_iqtree_9.log,"gadi-cpu-clx-2552.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.09
output_100taxa_1000000_iqtree_26.log,"gadi-cpu-clx-1042.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.025
output_100taxa_1000000_iqtree_27.log,"gadi-cpu-clx-1042.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.015
output_100taxa_1000000_iqtree_19.log,"gadi-cpu-clx-2760.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.025
output_100taxa_1000000_iqtree_25.log,"gadi-cpu-clx-1042.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",1.994
output_100taxa_1000000_iqtree_30.log,"gadi-cpu-clx-1042.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.008
output_100taxa_1000000_iqtree_24.log,"gadi-cpu-clx-1042.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.039
output_100taxa_1000000_iqtree_18.log,"gadi-cpu-clx-2760.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.123
output_100taxa_1000000_iqtree_43.log,"gadi-cpu-clx-1871.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.012
output_100taxa_1000000_iqtree_42.log,"gadi-cpu-clx-1871.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.009
output_100taxa_1000000_iqtree_41.log,"gadi-cpu-clx-1871.gadi.nci.org.au (AVX512, FMA3, 188 GB RAM)",2.603
