backend,taxa,sites,patterns,likelihood,time
OPENACC,100,100000,100000,-11560652.384823139756918,0.780263161000000
OPENACC,100,1000000,1000000,-115631632.803908675909042,19.417112333999999
OPENACC,100,100000,100000,-11560652.384823139756918,0.782788744000000
OPENACC,100,10000,10000,-1151284.802710433257744,0.241892686000000
OPENACC,100,1000,1000,-115909.164319487550529,0.834759315000000
OPENACC,100,1000,1000,-115909.164319487550529,0.234354664000000
OPENACC,100,1000000,1000000,-115631632.803908675909042,16.243363936000002
OPENACC,100,10000,10000,-1151284.802710433257744,0.495875312000000
IQ-TREE_SIMD,100,100000,100000,-7577217.412,0.382
IQ-TREE_SIMD,100,1000,1000,-75858.199,0.004
IQ-TREE_SIMD,100,1000000,1000000,-75780321.282,5.707
IQ-TREE_SIMD,100,10000,10000,-757851.69,0.037
IQ-TREE_SIMD,100,100,100,-7633.593,0.002
